date,machine,shift,produced_units,defects,downtime_minutes,yield_rate
2025-01-16,M-103,Day,264,15,0,0.9432
2025-01-16,M-103,Night,312,7,10,0.9776
2025-01-16,M-104,Day,139,32,13,0.7698
2025-01-16,M-104,Night,276,16,8,0.942
2025-01-16,M-105,Day,239,27,15,0.887
2025-01-16,M-105,Night,103,23,1,0.7767
2025-01-17,M-101,Day,163,29,4,0.8221
2025-01-17,M-101,Night,275,17,4,0.9382
2025-01-17,M-102,Day,173,19,13,0.8902
2025-01-17,M-102,Night,233,32,15,0.8627
2025-01-17,M-103,Day,265,21,5,0.9208
2025-01-17,M-103,Night,190,5,6,0.9737
2025-01-17,M-104,Day,303,16,2,0.9472
2025-01-17,M-104,Night,243,33,15,0.8642
2025-01-17,M-105,Day,160,16,9,0.9
2025-01-17,M-105,Night,154,10,4,0.9351
2025-01-18,M-101,Day,318,26,15,0.9182
2025-01-18,M-101,Night,279,33,1,0.8817
2025-01-18,M-102,Day,293,4,8,0.9863
2025-01-18,M-102,Night,230,13,2,0.9435
2025-01-18,M-103,Day,142,29,5,0.7958
2025-01-18,M-103,Night,168,32,2,0.8095
2025-01-18,M-104,Day,301,32,10,0.8937
2025-01-18,M-104,Night,136,7,5,0.9485
2025-01-18,M-105,Day,227,7,8,0.9692
2025-01-18,M-105,Night,125,19,0,0.848
2025-01-19,M-101,Day,255,3,3,0.9882
2025-01-19,M-101,Night,138,29,0,0.7899
2025-01-19,M-102,Day,194,21,9,0.8918
2025-01-19,M-102,Night,249,28,7,0.8876
2025-01-19,M-103,Day,282,12,17,0.9574
2025-01-19,M-103,Night,210,26,15,0.8762
2025-01-19,M-104,Day,274,30,9,0.8905
2025-01-19,M-104,Night,109,18,3,0.8349
2025-01-19,M-105,Day,295,9,4,0.9695
2025-01-19,M-105,Night,154,23,10,0.8506
2025-01-20,M-101,Day,308,15,5,0.9513
2025-01-20,M-101,Night,110,2,6,0.9818
2025-01-20,M-102,Day,303,19,16,0.9373
2025-01-20,M-102,Night,122,5,15,0.959
2025-01-20,M-103,Day,123,3,7,0.9756
2025-01-20,M-103,Night,303,24,1,0.9208
2025-01-20,M-104,Day,284,29,14,0.8979
2025-01-20,M-104,Night,298,9,17,0.9698
2025-01-20,M-105,Day,170,28,10,0.8353
2025-01-20,M-105,Night,271,22,11,0.9188
2025-01-21,M-101,Day,235,27,13,0.8851
2025-01-21,M-101,Night,129,29,9,0.7752
2025-01-21,M-102,Day,171,18,17,0.8947
2025-01-21,M-102,Night,288,29,8,0.8993
2025-01-21,M-103,Day,272,14,12,0.9485
2025-01-21,M-103,Night,240,10,4,0.9583
2025-01-21,M-104,Day,113,6,7,0.9469
2025-01-21,M-104,Night,205,7,7,0.9659
2025-01-21,M-105,Day,232,9,6,0.9612
2025-01-21,M-105,Night,180,18,6,0.9
2025-01-22,M-101,Day,262,12,7,0.9542
2025-01-22,M-101,Night,183,8,12,0.9563
2025-01-22,M-102,Day,151,11,14,0.9272
2025-01-22,M-102,Night,308,24,16,0.9221
2025-01-22,M-103,Day,287,17,13,0.9408
2025-01-22,M-103,Night,172,17,9,0.9012
2025-01-22,M-104,Day,311,30,8,0.9035
2025-01-22,M-104,Night,243,8,14,0.9671
2025-01-22,M-105,Day,221,19,13,0.914
2025-01-22,M-105,Night,239,4,5,0.9833
2025-01-23,M-101,Day,138,26,0,0.8116
2025-01-23,M-101,Night,144,21,12,0.8542
2025-01-23,M-102,Day,210,30,16,0.8571
2025-01-23,M-102,Night,129,33,11,0.7442
2025-01-23,M-103,Day,239,5,11,0.9791
2025-01-23,M-103,Night,259,21,1,0.9189
2025-01-23,M-104,Day,215,32,13,0.8512
2025-01-23,M-104,Night,130,33,17,0.7462
2025-01-23,M-105,Day,137,28,7,0.7956
2025-01-23,M-105,Night,230,16,14,0.9304
2025-01-24,M-101,Day,319,28,16,0.9122
2025-01-24,M-101,Night,308,4,4,0.987
2025-01-24,M-102,Day,258,21,0,0.9186
2025-01-24,M-102,Night,120,19,11,0.8417
2025-01-24,M-103,Day,136,7,2,0.9485
2025-01-24,M-103,Night,224,2,10,0.99
2025-01-24,M-104,Day,204,17,12,0.9167
2025-01-24,M-104,Night,214,26,13,0.8785
2025-01-24,M-105,Day,302,28,9,0.9073
2025-01-24,M-105,Night,208,9,10,0.9567
2025-01-25,M-101,Day,130,32,15,0.7538
2025-01-25,M-101,Night,126,27,2,0.7857
2025-01-25,M-102,Day,258,4,8,0.9845
2025-01-25,M-102,Night,244,26,7,0.8934
2025-01-25,M-103,Day,302,27,3,0.9106
2025-01-25,M-103,Night,247,26,6,0.8947
2025-01-25,M-104,Day,262,31,14,0.8817
2025-01-25,M-104,Night,267,22,4,0.9176
2025-01-25,M-105,Day,274,14,9,0.9489
2025-01-25,M-105,Night,169,12,2,0.929
2025-01-26,M-101,Day,311,6,1,0.9807
2025-01-26,M-101,Night,305,20,7,0.9344
2025-01-26,M-102,Day,262,14,2,0.9466
2025-01-26,M-102,Night,260,7,9,0.9731
2025-01-26,M-103,Day,308,32,6,0.8961
2025-01-26,M-103,Night,271,22,8,0.9188
2025-01-26,M-104,Day,130,14,11,0.8923
2025-01-26,M-104,Night,317,2,12,0.99
2025-01-26,M-105,Day,286,33,7,0.8846
2025-01-26,M-105,Night,126,10,15,0.9206
2025-01-27,M-101,Day,293,23,2,0.9215
2025-01-27,M-101,Night,126,17,10,0.8651
2025-01-27,M-102,Day,107,24,9,0.7757
2025-01-27,M-102,Night,102,5,8,0.951
2025-01-27,M-103,Day,258,29,7,0.8876
2025-01-27,M-103,Night,164,33,8,0.7988
2025-01-27,M-104,Day,169,16,0,0.9053
2025-01-27,M-104,Night,166,19,16,0.8855
2025-01-27,M-105,Day,262,27,9,0.8969
2025-01-27,M-105,Night,124,14,17,0.8871
2025-01-28,M-101,Day,109,31,12,0.7156
2025-01-28,M-101,Night,162,27,15,0.8333
2025-01-28,M-102,Day,109,5,11,0.9541
2025-01-28,M-102,Night,319,2,11,0.99
2025-01-28,M-103,Day,130,23,11,0.8231
2025-01-28,M-103,Night,119,24,16,0.7983
2025-01-28,M-104,Day,289,2,4,0.99
2025-01-28,M-104,Night,152,16,2,0.8947
2025-01-28,M-105,Day,287,27,14,0.9059
2025-01-28,M-105,Night,143,2,16,0.986
2025-01-29,M-101,Day,163,23,16,0.8589
2025-01-29,M-101,Night,107,2,0,0.9813
2025-01-29,M-102,Day,134,3,14,0.9776
2025-01-29,M-102,Night,233,34,14,0.8541
2025-01-29,M-103,Day,311,9,5,0.9711
2025-01-29,M-103,Night,286,10,1,0.965
2025-01-29,M-104,Day,247,28,17,0.8866
2025-01-29,M-104,Night,304,5,13,0.9836
2025-01-29,M-105,Day,286,25,14,0.9126
2025-01-29,M-105,Night,284,16,0,0.9437
2025-01-30,M-101,Day,200,8,2,0.96
2025-01-30,M-101,Night,127,25,9,0.8031
2025-01-30,M-102,Day,218,26,9,0.8807
2025-01-30,M-102,Night,238,4,15,0.9832
2025-01-30,M-103,Day,198,7,14,0.9646
2025-01-30,M-103,Night,261,3,3,0.9885
2025-01-30,M-104,Day,103,10,1,0.9029
2025-01-30,M-104,Night,256,19,17,0.9258
2025-01-30,M-105,Day,264,22,9,0.9167
2025-01-30,M-105,Night,111,4,11,0.964
